Marker,site,Batch,IC50_uM_(+)-SJ733,IC50_uM_17-DMAG (Alvespimycin) HCl,IC50_uM_Abexinostat,IC50_uM_Aclarubicin hydrochloride,IC50_uM_Actinomycin D,IC50_uM_Afatinib,IC50_uM_Aloxistatin,IC50_uM_Alpelisib,IC50_uM_AR-42(HDAC-42),IC50_uM_Artefenomel,IC50_uM_Artemether,IC50_uM_Artemisinin,IC50_uM_Artemisone,IC50_uM_Artemotil,IC50_uM_Artenimol,IC50_uM_Astemizole,IC50_uM_AT9283,IC50_uM_Atovaquone,IC50_uM_Auranofin,IC50_uM_AZ-23,IC50_uM_AZD-5597,IC50_uM_Azoxystrobin,IC50_uM_Batimastat,IC50_uM_Berzosertib,IC50_uM_BI 2536,IC50_uM_Birinapant,IC50_uM_BMS-791325 hydrochloride,IC50_uM_Bortezomib,IC50_uM_Brigatinib,IC50_uM_Buparvaquone,IC50_uM_Carfilzomib,IC50_uM_Cebranopadol,IC50_uM_CEPHARANTHINE,IC50_uM_CGP-60474,IC50_uM_CHIR-124,IC50_uM_Chlorhexidine HCl,IC50_uM_Chloroquine,IC50_uM_Cinchonidine,IC50_uM_Cinnamedrine,IC50_uM_Cipargamin,IC50_uM_Clobetasone butyrate,IC50_uM_Clotrimazole,IC50_uM_CP-673451,IC50_uM_Crizotinib,IC50_uM_CUDC-101,IC50_uM_CUDC-907,IC50_uM_Cycloheximide,IC50_uM_Dabrafenib,IC50_uM_Dacinostat,IC50_uM_Daunomycin HCL,IC50_uM_Decamethonium bromide,IC50_uM_DECOQUINATE,IC50_uM_Defactinib,IC50_uM_Dicyclopentamethylenethiuram disulfide,IC50_uM_Difeterol,IC50_uM_diphenyleneiodonium,IC50_uM_Dipyrithione,IC50_uM_Doxorubicin,IC50_uM_Duloxetine hydrochloride,IC50_uM_Echinomycin,IC50_uM_ECONAZOLE NITRATE,IC50_uM_Elesclomol (STA-4783),IC50_uM_ELQ-300,IC50_uM_Encorafenib,IC50_uM_Epothilone A,IC50_uM_Epoxomicin,IC50_uM_Ethylhexadecyldimethylammonium bromide,IC50_uM_Ferroquine,IC50_uM_Fidaxomicin,IC50_uM_Flumatinib mesylate,IC50_uM_Glyparamide,IC50_uM_GNF-2,IC50_uM_Go-6976,IC50_uM_GSK-2126458,IC50_uM_GW-2580,IC50_uM_GZD-824,IC50_uM_Halofantrine,IC50_uM_Haloxon,IC50_uM_Hesperadin,IC50_uM_Hydroquinine,IC50_uM_HYDROQUININE HYDROBROMIDE HYDRATE,IC50_uM_Hydroxychloroquine sulfate,IC50_uM_Idarubicin hydrochloride,IC50_uM_INK-128,IC50_uM_Isradipine,IC50_uM_KRP-203,IC50_uM_Lapatinib,IC50_uM_Lestaurtinib,IC50_uM_Lumefantrine,IC50_uM_LY2874455,IC50_uM_Malachite Green Oxalate,IC50_uM_Marizomib / Salinosporamide A,IC50_uM_Mefloquine,IC50_uM_Methotrexate,IC50_uM_Methylbenzethonium chloride,IC50_uM_Methylrosaniline chloride,IC50_uM_MG-132,IC50_uM_Milciclib,IC50_uM_MK-1775,IC50_uM_NCGC00016373-13,IC50_uM_NCGC00052276-02,IC50_uM_NCGC00090168-01,IC50_uM_NCGC00090208-01,IC50_uM_NCGC00091231-02,IC50_uM_NCGC00098192-01,IC50_uM_NCGC00100513-01,IC50_uM_NCGC00100738-01,IC50_uM_NCGC00108995-02,IC50_uM_NCGC00114972-02,IC50_uM_NCGC00115685-01,IC50_uM_NCGC00162398-11,IC50_uM_NCGC00181375-01,IC50_uM_NCGC00185323-05,IC50_uM_NCGC00249372-02,IC50_uM_NCGC00356154-01,IC50_uM_NCGC00380396-02,IC50_uM_NCGC00388587-02,IC50_uM_NCGC00389104-02,IC50_uM_NCGC00412395-01,IC50_uM_NCGC00412536-01,IC50_uM_NCGC00412552-01,IC50_uM_NCGC00413871-01,IC50_uM_NCGC00417201-01,IC50_uM_NCGC00421178-01,IC50_uM_NCGC00441011-01,IC50_uM_NCGC00454902-01,IC50_uM_NCGC00465444-01,IC50_uM_NCGC00479600-01,IC50_uM_NCGC00482483-01,IC50_uM_NCGC00589069-05,IC50_uM_Nemorubicin,IC50_uM_Nilotinib,IC50_uM_Nintedanib,IC50_uM_Nitromersol,IC50_uM_NVP-AUY922,IC50_uM_NVP-BGT226,IC50_uM_Omacetaxine mepesuccinate,IC50_uM_OTS-167,IC50_uM_Paclitaxel,IC50_uM_Pamicogrel,IC50_uM_Panobinostat,IC50_uM_Paritaprevir,IC50_uM_Penfluridol,IC50_uM_Pentamidine isethionate,IC50_uM_PF-03814735,IC50_uM_PF-04691502,IC50_uM_PF-04979064,IC50_uM_PIK-90,IC50_uM_Piperaquine,IC50_uM_PKC-412,IC50_uM_Plicamycin,IC50_uM_Ponatinib,IC50_uM_PQ401,IC50_uM_Prexasertib,IC50_uM_Proglumetacin,IC50_uM_Propafenone hydrochloride,IC50_uM_Puromycin (hydrochloride),IC50_uM_Pyronaridine Tetraphosphate,IC50_uM_Quisinostat,IC50_uM_R-1530,IC50_uM_R306465,IC50_uM_REP 8839,IC50_uM_Rifampin,"IC50_uM_Romidepsin (FK228, depsipeptide)",IC50_uM_Salinomycin,IC50_uM_Selonsertib,IC50_uM_Sodium Monensin,IC50_uM_SSR-504734,IC50_uM_Staurosporine,IC50_uM_SULOCTIDIL,IC50_uM_Sunitinib malate,IC50_uM_Symadex,IC50_uM_TAE-684,IC50_uM_Temsirolimus,IC50_uM_Tetradonium bromide,IC50_uM_Tetrahydroberberine,IC50_uM_Tetrandrine,IC50_uM_TG-101209,IC50_uM_TG-101348,IC50_uM_Tilorone,IC50_uM_Tolterodine Tartrate,IC50_uM_Trametinib,IC50_uM_Trifloxystrobin,IC50_uM_UNC-0638,IC50_uM_VE-821,IC50_uM_Verapamil,IC50_uM_Vincristine sulfate,IC50_uM_Volasertib,IC50_uM_Vorinostat (SAHA),IC50_uM_Voruciclib,IC50_uM_Watanidipine,IC50_uM_XL-228,IC50_uM_XL-647,IC50_uM_Zaldaride maleate,IC50_uM_Zinc pyrithione,IC50_uM_ZM-447439,IC50_uM_ZSTK-474
MKK2835,OG,0,0.09028375,0.16220925,0.21250425,0.14442275,0.003259,5.8751555,0.44590175,20.40366933,0.0834275,0.04552625,0.054992,0.0569625,0.01251475,0.052657,0.0190645,1.2716125,1.273067333,0.0019115,3.1200175,1.12239925,1.6991835,0.03063275,0.5448505,0.11848225,0.27888975,0.8679715,19.010638,0.0539445,3.9709045,0.021721,0.0362245,0.64289425,7.5820795,0.85971075,0.40706975,0.28615525,1.45564325,0.80322175,1.37646075,0.003074,1.1877225,1.9449795,3.3948805,1.615499,0.0546685,0.0265285,0.46041925,4.72092575,0.10546125,0.6135325,8.11570825,0.087929,2.57605575,5.077128333,0.53229625,0.302141,0.84337925,0.605819,0.59328725,0.003083,2.7861595,0.07596025,0.039835,14.185296,0.3607515,0.030762,3.49751375,0.01396375,1.25951325,0.214647,12.611774,11.59940875,10.2150875,0.20728575,14.65168,0.5581745,0.02905175,7.1445205,0.5256755,0.452209,0.4157655,12.372272,2.4535725,0.54721725,23.840777,7.47063225,2.67246875,0.71362725,0.08486675,1.91497675,0.2296295,0.048584,0.04394675,0.309271333,0.78213725,0.12231525,0.0729615,3.20300875,2.807791,1.2250535,3.23481975,2.1666305,17.64152975,0.19730975,0.88647525,1.102963,0.07864825,0.34158525,1.87501,1.32846,0.689102,2.228593,2.15303075,4.48984175,0.27403675,5.6335665,1.56546125,3.8417995,5.095075,2.55525025,3.16486425,15.9984775,3.5639005,11.74948475,21.560841,17.53830625,11.257762,7.0318845,0.66023325,0.0171735,0.0062945,0.71291325,0.55364425,9.48204025,0.0719235,0.007014,0.03423725,0.355754,1.0015425,9.1003975,0.05628525,1.90370675,1.02885,0.523966,4.84068025,1.42386125,0.015483,9.457681,0.02183725,0.5076175,0.12832175,1.07124775,0.862284,1.48765725,1.36421775,0.9919995,0.1401005,0.018441,0.01170625,1.96014125,7.48644325,2.3515675,3.89159425,0.87776625,0.46566025,8.4785205,0.03413725,4.61799925,0.100101,1.19035925,1.98710725,1.48849675,1.14107825,5.7416985,3.8187095,4.3867565,1.42000875,0.81521875,0.66772,2.329452,1.5227395,0.20384475,0.12584125,0.212947,0.57278575,17.938485,1.56016975,0.7081895,0.55635875,1.1567725,1.29683525,1.687175,1.1652135,12.4326935,0.750803,1.719579,1.568329667
NHP1337,OG,0,0.077095,0.16704825,0.20603525,0.14800775,0.004017,4.890715,0.377903667,15.791231,0.06969775,0.0410895,0.04261125,0.061592,0.01000025,0.04491,0.01772025,1.3465215,0.9678065,0.00222975,2.954261,0.954757667,1.7720105,0.0310185,0.5258725,0.089494,0.2989835,0.8956935,19.34983525,0.05709775,3.24056075,0.0216065,0.03804525,0.647247,5.8602185,0.804372,0.4084685,0.279349,1.4852605,1.240506333,1.82155575,0.00276825,1.1531245,2.117996,3.44686275,1.697285,0.0449465,0.020773667,0.406555,2.944887333,0.0872345,0.58940175,10.34646725,0.0473245,1.8079475,6.402715,0.769614,0.30875175,0.7573965,0.678736667,0.80322325,0.0033885,3.4825885,0.1251705,0.0471235,6.321073,0.282607,0.032812,4.02226875,0.01520875,1.442245,0.2198865,14.61042,9.852951,4.5579645,0.16439775,14.031864,0.56053225,0.02503075,6.46747725,1.1703965,0.696854,0.636928,11.91781075,2.45661975,0.392344667,23.028604,8.34066875,3.01612325,0.62848575,0.126106667,1.937267,0.243074,0.041933,0.0512535,0.267171667,0.9141785,0.133542,0.08422825,3.35168275,2.60969475,1.4304525,3.733445333,2.464237,14.70795325,0.33932225,0.9359805,1.142383,0.09858325,0.64502125,1.947297,1.4886465,0.78543625,2.3115075,2.4886985,4.3769305,0.162957333,6.4270335,1.70655025,2.6956455,3.387278,2.1436185,2.473517,15.9259105,4.01052325,11.79851525,20.00167233,15.71686233,10.6528545,7.604894,0.70736975,0.01783125,0.007477,0.55199,0.57536925,6.43742475,0.06395325,0.00694675,0.0336805,0.36034875,0.63779825,9.49673175,0.05287875,2.234234,1.5498105,0.525317667,4.56797225,1.342067,0.008792333,6.627940333,0.013974,0.56394325,0.12780875,1.10531875,0.82341375,6.13052625,1.479051,1.05072925,0.12978825,0.020194,0.0103915,1.489709,7.995022,2.3258055,4.483255667,0.8261045,0.42087325,8.641386,0.02865625,4.501100333,0.1304675,1.02199025,1.990591,1.664547,1.244463,6.55000475,3.903483,4.13143725,1.66408425,0.86813125,0.65435475,2.73765775,1.88980275,0.20926425,0.13563225,0.189719,0.4931315,NA,0.193633,0.60855525,0.36942075,1.470925,1.561524,1.94218025,1.124304,9.9919465,0.83048725,1.537997,1.190930333
DE001,ND,1,0.103029,0.142889,0.306004,0.146279,0.004527,11.264816,1.238153,23.260586,0.070015,0.147073,0.165117,0.138881,0.047512,0.131633,0.071951,1.96782,3.72378,0.000952,5.078861,1.328541,2.200531,0.023468,0.964109,0.218487,0.486399,1.252415,24.937656,0.046784,5.010259,0.013239,0.033777,0.48021,24.937656,0.826688,0.543437,0.555754,2.047679,0.936038,2.084273,0.002575,0.766844,2.260961,6.16563,1.840563,0.077675,0.028931,0.509597,11.385456,0.140744,0.888574,11.852513,0.039395,4.145774,NA,0.808991,0.230379,1.320029,0.85885,0.841475,0.004218,2.618512,0.233843,0.0357,NA,NA,0.032208,3.870695,0.014484,1.879852,0.201672,14.301423,24.937656,NA,0.169253,NA,0.942957,0.083835,8.393963,1.727652,0.589736,0.6044,17.999816,5.595492,1.231322,24.937656,8.12063,4.473823,0.904359,0.152408,3.054085,0.257741,0.037123,0.061308,0.286886,1.193415,0.134418,0.07543,1.912764,5.654898,2.028545,6.313678,3.390107,NA,0.307066,0.932714,0.835396,0.099308,0.249262,1.813201,1.911793,1.211678,2.458684,11.463373,6.196993,0.519683,7.484342,3.143288,4.37806,9.657155,3.052891,6.748611,28.579889,3.741502,14.706519,19.256399,NA,13.113986,NA,0.927681,0.016855,0.00777,1.80179,0.667047,11.259708,0.095253,0.008721,0.033337,0.874456,1.284777,21.197662,0.072005,3.345125,1.513538,0.529611,9.454023,1.865439,0.029843,12.048046,0.041897,0.569325,0.067398,1.397132,1.156446,10.242468,3.297506,1.243907,0.130282,0.032973,0.014326,0.756735,11.125016,2.507126,4.56552,0.660623,0.804422,11.190924,0.033105,4.916129,0.197016,8.983568,2.708026,1.755874,1.870796,11.662762,5.046392,7.327541,1.987941,1.452331,1.151083,4.211129,1.88122,0.286355,0.099799,0.203399,1.047427,NA,1.955629,1.221152,0.728661,1.622896,1.386734,3.729515,1.737519,10.915093,1.182814,2.299395,2.062918
DE010,ND,1,0.089215,0.125707,0.279347,0.090357,0.004669,7.299016,0.466771,24.937656,0.081742,0.128322,0.143141,0.084447,0.035644,0.16037,0.049249,1.406352,2.344273,0.001527,3.225731,1.187361,1.953712,0.029854,0.714161,0.186476,0.328457,1.12151,24.937656,0.050266,4.624136,0.017304,0.036776,0.510664,24.937656,0.651696,0.502947,0.578787,2.241548,1.299885,1.811996,0.002521,1.117541,3.147536,4.615926,1.715755,0.068294,0.029964,0.426936,9.362964,0.122664,0.644249,8.769252,0.040612,4.184122,NA,0.716912,0.281814,1.028073,0.710926,0.746961,0.0023,3.209666,0.193066,0.042926,24.937656,NA,0.030176,4.26411,0.017654,1.591811,0.200476,15.8167,12.024636,19.561801,0.228266,20.926796,0.766598,0.081653,7.203337,1.232912,0.778055,0.64441,11.404125,2.664669,0.808521,24.937656,9.794791,2.76693,0.759183,0.147367,1.87833,0.276162,0.036255,0.053353,0.269077,1.0884,0.115704,0.073316,3.729199,6.19272,1.997338,7.686809,3.170152,NA,0.333052,0.868531,0.808497,0.084984,0.884922,2.21006,1.790547,0.755344,2.45937,4.240154,5.622393,0.467831,5.410293,2.444506,3.997161,6.949114,3.421591,4.372111,23.350967,3.612613,12.95748,22.203779,23.643762,10.597162,12.426621,0.695013,0.014733,0.007625,0.688959,0.640783,11.73662,0.065649,0.007258,0.036288,0.588069,1.384485,15.325516,0.070657,2.873126,1.263068,0.565976,6.871536,1.565786,0.025614,16.01904,0.032645,0.479322,0.064148,1.199526,0.652602,4.403403,4.061116,1.15284,0.141835,0.028133,0.00892,0.518272,8.845722,2.488909,4.102095,0.711381,0.640366,10.209354,0.031883,4.645125,0.097804,2.724903,2.308601,1.718284,1.455972,8.589067,4.67138,5.281271,1.721989,1.069685,1.114776,4.222485,2.08263,0.224168,0.112104,0.179318,0.82068,24.937656,3.824695,0.985704,0.628207,1.409315,1.607469,2.823934,1.22781,10.434904,1.142644,1.569748,1.916332
DE041,ND,1,0.069957,0.175073,0.178339,0.065056,0.003345,6.285304,0.55027,17.645356,0.063805,0.128106,0.12995,0.082639,0.032071,0.124939,0.04278,1.372756,2.097938,0.000849,2.535684,1.135831,2.049957,0.023842,0.713777,0.174811,0.358763,1.939114,23.308529,0.05667,4.506492,0.010049,0.036351,0.523209,NA,0.785165,0.495706,0.354396,2.0158,1.03478,1.802758,0.002232,0.890004,2.260914,4.649509,1.801839,0.04927,0.022375,0.446998,5.783155,0.08397,0.636717,8.282574,0.033766,2.709544,17.682937,0.696011,0.246775,1.276785,0.663853,0.656961,0.002557,2.846707,0.328935,0.026655,NA,0.344576,0.034993,7.477954,0.039534,1.613161,0.19997,20.460847,15.345826,10.368392,0.198443,17.614713,0.6087,0.032239,6.387834,1.298953,0.398305,0.402272,10.760418,2.144774,1.27898,24.056562,8.895537,1.821566,0.663279,0.141613,2.205622,0.280397,0.036022,0.058467,0.243071,1.541643,0.169703,0.073288,2.417874,3.618102,1.78652,4.675825,2.86538,24.937656,0.20726,0.857169,0.798048,0.04355,0.296503,1.963416,1.828962,0.996922,2.387745,3.505289,5.018536,0.362784,5.542404,1.46311,2.16171,7.802501,2.950791,3.450259,22.445315,3.647604,13.68295,17.574755,24.937656,11.187886,11.078515,0.59569,0.013104,0.007629,0.591275,0.688807,14.132725,0.08101,0.005767,0.031891,0.553425,0.63489,11.788329,0.04924,2.584099,1.407953,0.503389,5.509449,1.402245,0.025542,13.3035,0.028934,0.600512,0.058219,1.286913,0.717554,3.049682,2.439949,1.118522,0.12391,0.022424,0.011164,0.527852,8.734847,1.969932,3.946408,0.633768,0.486662,6.701909,0.027249,4.562581,0.116353,2.147607,2.294498,1.59544,1.349879,7.979163,4.743379,4.4537,2.00338,0.753268,0.888054,2.908288,2.070846,0.141562,0.073761,0.177873,0.837877,20.018913,NA,0.813793,0.499276,1.584906,1.297783,2.418745,1.107956,9.70528,1.194919,1.479141,1.861317
DE043,ND,1,0.078431,0.109941,0.141048,0.070985,0.002647,3.41226,0.119273,12.800041,0.055725,0.148934,0.101781,0.229937,0.029061,0.063108,0.026926,1.252474,0.601126,0.001099,2.066022,0.539009,0.974114,0.01494,0.364583,0.016986,0.142188,0.408414,17.121673,0.057366,2.255865,0.008677,0.031754,0.535029,4.039162,0.535243,0.301157,0.240869,2.036813,0.821718,1.132883,0.002479,0.652819,2.500687,2.081276,0.803534,0.03104,0.019931,0.313038,2.234371,0.042005,0.50243,4.244705,0.028687,1.183732,4.598181,0.38034,0.160451,0.921264,0.572064,0.57169,0.002333,3.557077,0.110075,0.026042,2.512828,0.153268,0.017826,2.523822,0.017721,1.185448,0.158232,9.789298,6.266814,2.884411,0.178365,15.119931,0.274227,0.005826,4.690163,0.048867,0.509165,0.311561,10.943466,1.715768,0.22239,24.937656,5.329735,1.49241,0.567586,0.066589,0.848906,0.163514,0.040271,0.029258,0.212192,0.688482,0.054926,0.073698,2.061084,1.291818,0.964113,4.878465,1.614597,16.23728,0.212545,0.791594,0.73812,0.058619,0.2675,1.928801,1.13633,0.4999,2.026769,0.688517,2.731855,0.0673,4.49603,0.567601,1.855917,1.845262,0.872195,0.482111,10.517225,4.09787,8.843339,13.614188,13.661808,8.148622,11.434852,0.359737,0.009221,0.007383,0.538459,0.36288,5.737113,0.050587,0.002651,0.026179,0.23642,0.151785,10.724476,0.039289,1.441006,0.649269,0.316941,2.379702,1.140915,0.004616,10.980968,0.019187,0.33946,0.064898,0.798845,0.823918,0.171337,1.561546,0.571276,0.07638,0.017961,0.008949,0.853408,4.371484,2.326195,3.340792,0.576901,0.296833,6.671119,0.012342,4.265885,0.044949,0.546006,1.780191,1.202902,0.700689,4.913573,2.014217,0.707816,0.702989,0.654144,0.657039,1.761883,1.260504,0.146015,0.058933,0.201986,0.132912,2.735021,0.197517,0.564499,0.27524,0.706732,0.892046,0.316366,1.168788,7.742316,1.1222,1.298196,0.316073
DE066,ND,1,0.079696,0.15506,0.22554,0.09837,0.004229,5.946916,0.519433,18.908986,0.069994,0.058,0.127763,0.105162,0.032079,0.113052,0.033925,1.425659,0.986816,0.00303,2.525177,1.217805,1.945439,0.046986,0.739109,0.103699,0.317996,1.215165,21.303618,0.056661,3.462511,0.039921,0.040948,0.520589,24.937656,0.807754,0.447136,0.645382,2.250011,1.122871,1.791827,0.002524,1.575432,3.92111,4.257511,1.804136,0.049192,0.031678,0.431718,5.126899,0.095551,0.644657,11.268529,0.051938,1.902432,NA,0.705332,0.503818,1.293528,0.681548,0.656365,0.002284,3.563384,0.246622,0.068355,7.274214,0.554989,0.024553,3.803519,0.015871,1.566528,0.177865,24.85419,9.750627,NA,0.200482,21.425922,0.441182,0.081795,6.821798,1.495977,0.69767,0.579659,11.738317,2.037446,0.512801,NA,8.821557,2.865741,0.567762,0.160331,2.17488,0.247928,0.036408,0.052174,0.305608,1.245804,0.168469,0.081796,2.139147,3.103077,2.226461,5.570909,3.273232,11.357617,0.332757,0.981378,0.807756,0.062205,0.82358,3.15305,1.56089,0.701176,2.105365,3.713462,4.269686,0.253387,6.708115,1.780368,2.599976,3.473551,2.353168,2.07485,19.430512,4.554891,13.712186,NA,19.742927,13.288468,13.732343,1.290894,0.023048,0.007122,0.615926,0.576651,9.472864,0.056419,0.005733,0.032325,0.467073,0.444007,15.439076,0.069978,1.974185,1.125749,0.574788,4.309537,1.291314,0.016154,12.060729,0.036475,0.663812,0.057688,1.064684,0.812492,1.565837,2.255013,1.10229,0.126874,0.017917,0.008952,0.448918,8.306107,4.625489,3.607377,0.630485,0.553204,8.155882,0.031299,4.185187,0.112179,2.287845,2.036808,1.722596,1.030636,7.365829,3.949863,5.720151,1.495661,1.048211,0.996676,2.886309,2.237375,0.152416,0.204975,0.177501,0.36235,NA,NA,0.701187,0.621108,1.825385,2.193047,3.662968,1.585588,10.601838,1.212676,1.547125,1.421371
DE138,SC,1,0.088156,0.139396,0.254435,0.101883,0.004546,6.900949,0.667527,16.731398,0.058571,0.106556,0.1194,0.107284,0.035909,0.076887,0.032831,1.463118,1.197482,0.001401,2.266422,1.031186,1.969446,0.037468,0.661912,0.161185,0.405561,1.218339,21.933076,0.040516,3.658904,0.020579,0.045309,0.500802,24.937656,0.698561,0.481957,0.516506,2.000115,1.855004,1.816767,0.002819,1.119432,2.509615,4.630626,1.789105,0.05033,0.024277,0.39337,5.250273,0.094426,0.68667,9.042604,0.036913,2.115874,24.937656,0.78772,0.283475,1.114983,0.638609,1.147611,0.002322,3.929372,0.235674,0.03898,8.973592,0.369386,0.030473,5.33555,0.044491,1.757631,0.157671,17.332523,10.864067,NA,0.125248,19.247207,0.707443,0.138637,6.859725,1.528477,1.252842,1.027971,11.183776,2.205588,0.682295,NA,9.70679,3.735369,0.617252,0.159118,1.990484,0.309431,0.050974,0.058468,0.218424,1.207445,0.1992,0.065666,2.176846,3.418976,1.986174,5.564232,2.571085,NA,0.459702,0.785341,0.892015,0.06719,0.967364,2.465135,1.750913,2.847397,2.47321,2.91603,5.052706,0.267149,5.769634,1.669701,2.884103,5.529198,3.437579,3.094439,24.132865,3.633754,12.073923,16.408332,22.217038,14.605667,12.551507,0.775191,0.016414,0.009131,0.620908,0.563363,11.920793,0.063658,0.006477,0.032418,0.553557,0.737268,15.728663,0.061413,2.444686,1.977316,0.509581,4.237295,1.370316,0.017523,6.970969,0.032091,0.528554,0.051094,1.338361,1.022884,2.798197,2.195654,1.621293,0.122467,0.017738,0.010002,0.460121,10.594216,2.719403,3.721982,0.627035,0.544408,8.51348,0.024832,4.671862,0.105373,0.718956,2.015887,1.854035,1.317731,9.158877,5.635477,5.186285,1.956769,0.953181,1.086852,2.895192,2.386582,0.17038,0.18373,0.23028,0.706764,NA,NA,0.801671,0.542841,1.69488,2.16738,3.274302,1.244374,9.880056,1.201236,1.437006,1.511469
DE146,SC,1,0.078845,0.172364,0.24303,0.105922,0.004197,6.722539,0.948922,22.321918,0.079953,0.162035,0.046234,0.104403,0.01149,0.071061,0.047862,1.983507,1.282656,0.001922,3.543967,1.501101,1.807247,0.03703,0.718855,0.115797,0.356384,0.85649,22.822962,0.056561,4.462106,0.028815,0.04114,0.471386,12.814409,1.03924,0.549163,0.452075,1.993919,1.27233,1.926981,0.002517,1.233968,2.490371,4.135371,1.94386,0.078722,0.02654,0.481944,7.047012,0.125167,0.839016,9.098475,0.04508,2.36555,24.937656,0.803749,0.345759,1.038362,0.832505,0.658721,0.004027,3.533342,0.154064,0.046945,NA,NA,0.027772,4.841752,0.01268,1.621353,0.198736,14.532229,14.698777,5.831382,0.156279,20.988003,0.730014,0.014277,6.956062,0.936243,0.727666,0.650731,12.184918,2.233503,0.645243,NA,10.277688,2.664162,0.625618,0.159557,2.625259,0.244554,0.032525,0.057479,0.25247,1.050167,0.169384,0.072356,5.929379,4.361696,1.73959,6.01122,2.331177,23.674708,0.333356,1.19391,0.891345,0.052942,0.410002,2.20885,1.368833,0.772468,3.20675,2.136988,4.707781,0.268427,6.66346,1.564392,3.905593,4.532356,2.957319,3.338176,15.608287,4.086845,11.357072,24.12285,24.937656,10.910184,15.548093,0.710221,0.020586,0.007645,0.627076,0.720009,8.374083,0.088998,0.005728,0.035171,0.393542,1.230437,17.504202,0.076519,2.48129,1.360434,0.557154,5.126841,1.20381,0.019764,8.71337,0.032677,0.610282,0.064274,1.177426,1.019644,4.736066,1.962518,1.270251,0.13836,0.022252,0.008844,0.706475,7.076142,3.065294,4.306063,0.887147,0.632255,8.341647,0.026536,4.552949,0.106825,1.222644,2.276416,1.513651,1.30311,8.489219,4.423824,5.610734,1.504161,1.161774,1.246084,2.912154,1.994124,0.170593,0.156161,0.199726,0.779322,19.769282,2.508062,0.722865,0.694319,1.567375,1.786686,4.02139,1.351054,10.602008,1.048821,1.367139,1.797226
DE158,SC,1,0.06956,0.219804,0.162152,0.084399,0.004206,5.891743,0.238134,11.73319,0.052246,0.180723,0.181604,0.104853,0.032793,0.128244,0.0391,1.45707,0.673244,0.000922,2.515955,0.903517,1.348602,0.026588,0.557926,0.113463,0.359606,0.929602,24.937656,0.050193,3.232234,0.014949,0.046151,0.461412,NA,0.512659,0.458948,0.408628,1.278052,1.455946,2.036069,0.002216,1.146805,2.788985,4.00861,1.771915,0.036176,0.027009,0.315197,2.581458,0.086512,0.62168,7.419306,0.034121,1.793468,24.937656,0.829599,0.354087,1.169148,0.702832,1.15603,0.002585,3.922172,0.132457,0.030152,2.719053,0.213372,0.027504,2.689947,0.012498,1.831478,0.177615,16.256917,9.818635,NA,0.098991,18.233063,0.523829,0.050558,4.596423,0.88374,0.626362,0.639113,11.313635,2.570838,0.316721,24.937656,8.015545,3.924142,0.707276,0.144795,2.183681,0.304124,0.029807,0.058391,0.210073,1.279159,0.12276,0.073851,2.155921,2.294329,1.752938,3.847666,2.592299,17.396469,0.331981,0.975446,1.17574,0.045573,1.07206,2.210521,1.76272,1.366506,2.322837,2.634066,4.341732,0.131133,5.280545,1.082214,2.104528,2.28716,2.029646,1.410827,30.366532,4.159877,12.722487,20.016265,20.184909,11.647838,18.52591,0.585546,0.014758,0.00657,0.271048,0.534588,9.097426,0.064533,0.005205,0.032064,0.379428,0.640037,13.810484,0.054028,1.948811,1.568074,0.640643,3.178797,1.126777,0.009086,8.29992,0.022931,0.505725,0.064402,1.202909,1.157787,1.568205,2.139027,1.44385,0.128397,0.016002,0.010189,0.31141,9.435149,2.681312,3.640683,0.565258,0.442785,8.437995,0.013651,4.701707,0.105664,1.162361,2.023783,1.617057,1.245251,7.602525,4.695972,3.089003,1.709082,0.932659,0.96387,2.452349,2.069525,0.158778,0.08099,0.160885,0.425477,15.851953,0.420482,0.556375,0.422427,1.674852,1.452864,2.972299,1.232423,8.529883,1.133245,2.353249,0.743778
