mdpackage.filters...1...,mdpackage.scores...1...,V3
53,0.044755320128623,PF3D7_0106600
4734,0.0448396873339713,PF3D7_1436000
3898,0.0450203007163018,PF3D7_1318600
2523,0.0453610311743922,PF3D7_1017000
1379,0.0454631308465995,PF3D7_0629900
5120,0.0456368158351328,PF3D7_1475400
4158,0.0461361726534188,PF3D7_1346100
2830,0.0456437475916815,PF3D7_1110100
174,0.0462564116689456,PF3D7_0205400
2546,0.0489626064494048,PF3D7_1019400
5125,0.0487282346899827,PF3D7_1475900
1238,0.0487702717998746,PF3D7_0615200
374,0.0488635924893454,PF3D7_0304900
4114,0.0485264229689715,PF3D7_1341700
3210,0.0486423843246111,PF3D7_1200500
2657,0.0488539672137466,PF3D7_1031000
4988,0.0497299946053281,PF3D7_1461900
3276,0.0504452968039765,PF3D7_1207400
3699,0.04985520271267,PF3D7_1252700
2254,0.0504494319648525,PF3D7_0926700
2200,0.0501375347327174,PF3D7_0921200
473,0.0504698207271373,PF3D7_0315600
620,0.0509854353554123,PF3D7_0407100
4527,0.0525780060509466,PF3D7_1413200
436,0.052012609346388,PF3D7_0311500
2896,0.0528841627876125,PF3D7_1117000
1287,0.053423354741708,PF3D7_0620300
1776,0.0531824143565237,PF3D7_0809800
1140,0.0526577006499055,PF3D7_0605300
3941,0.0533041573961409,PF3D7_1323000
3778,0.0538564617801736,PF3D7_1306600
3586,0.0540951568531063,PF3D7_1240400
1506,0.0526245988409403,PF3D7_0712800
3998,0.0541575794942195,PF3D7_1328800
4854,0.0532261036949972,PF3D7_1448300
3500,0.0536373526509305,PF3D7_1231400
4848,0.0538602932247761,PF3D7_1447700
4435,0.056197528344465,PF3D7_1403500
1590,0.0560541999514265,PF3D7_0721800
2118,0.0554616828354618,PF3D7_0912800
756,0.0551824718307006,PF3D7_0422400
3609,0.056479463514507,PF3D7_1243100
3528,0.0566551441290198,PF3D7_1234500
4536,0.0568246718010323,PF3D7_1414100
1912,0.0577869085271597,PF3D7_0823500
1699,0.0581037929147427,PF3D7_0801500
1843,0.0576287602226344,PF3D7_0816600
2241,0.0580120257688626,PF3D7_0925400
826,0.0577541658537317,PF3D7_0504400
3011,0.0597033804539143,PF3D7_1128700
1291,0.0601336231622743,PF3D7_0620700
84,0.0614872682701812,PF3D7_0110100
1930,0.0634070616406683,PF3D7_0825300
2526,0.0653847905209179,PF3D7_1017400
4684,0.0673952115386284,PF3D7_1430900
4128,0.0667925113446899,PF3D7_1343100
2722,0.0657842875344846,PF3D7_1037900
4093,0.0668719974378013,PF3D7_1339300
4116,0.0699705824491766,PF3D7_1341900
1003,0.0689623846511057,PF3D7_0522500
3965,0.0692034914888661,PF3D7_1325400
1203,0.0707844525497389,PF3D7_0611600
1282,0.0694725299713833,PF3D7_0619800
2759,0.0678464716202662,PF3D7_1101700
3268,0.0746879326594626,PF3D7_1206600
2604,0.0710377823175584,PF3D7_1025300
3272,0.0720304938849106,PF3D7_1207000
4687,0.0739719582082374,PF3D7_1431200
4312,0.0746934329256331,PF3D7_1362200
440,0.0716490209773937,PF3D7_0311900
4708,0.0725312497636046,PF3D7_1433300
910,0.073687206207194,PF3D7_0513100
3144,0.0716969778545156,PF3D7_1143100
1325,0.0772772701135757,PF3D7_0624400
4578,0.074911287730829,PF3D7_1418900
4151,0.0737365902611128,PF3D7_1345400
4165,0.0837464148550228,PF3D7_1346800
945,0.0733189011170814,PF3D7_0516700
3861,0.079616960748379,PF3D7_1314900
2620,0.0778675337754609,PF3D7_1027000
4847,0.0752768900408276,PF3D7_1447600
5122,0.0821462308583614,PF3D7_1475600
957,0.0790085196837363,PF3D7_0517900
4119,0.0753111666842593,PF3D7_1342200
3331,0.0779363037448994,PF3D7_1213400
2084,0.0724089589754875,PF3D7_0909200
3363,0.099283181503194,PF3D7_1216600
596,0.079853661813041,PF3D7_0404600
76,0.0746618909594144,PF3D7_0109200
2736,0.0789283956818169,PF3D7_1040200
2914,0.0758915307029188,PF3D7_1118900
5111,0.0888245903339809,PF3D7_1474500
3587,0.0985139901503561,PF3D7_1240600
4922,0.127768181273703,PF3D7_1455100
333,0.115856695918294,PF3D7_0300500
684,0.135827330388305,PF3D7_0414600
3348,0.124747038781059,PF3D7_1215100
415,0.10507713913227,PF3D7_0309200
3677,0.0726178288159615,PF3D7_1250200
336,0.914041880849977,PF3D7_0300900
