mdpackage.filters...1...,mdpackage.scores...1...,V3
4527,0.0324427429040695,PF3D7_1413100
4660,0.0323684233300903,PF3D7_1428400
3487,0.0332001749894559,PF3D7_1229800
3742,0.0330205996139859,PF3D7_1302600
336,0.0328982954454484,PF3D7_0300800
3579,0.0330485613908809,PF3D7_1239500
2429,0.0331406464506453,PF3D7_1007100
1780,0.0333389236488518,PF3D7_0810100
2970,0.0333377175975018,PF3D7_1124400
1394,0.0333177087424195,PF3D7_0631600
4291,0.0332606991197542,PF3D7_1359800
4703,0.0332902263169216,PF3D7_1432700
119,0.0330392745684959,PF3D7_0114700
3713,0.0342213909344658,PF3D7_1254300
3586,0.0342687652294093,PF3D7_1240300
356,0.0350528599533625,PF3D7_0303000
3854,0.0347131086128601,PF3D7_1314100
125,0.0347108018028518,PF3D7_0115400
4541,0.0349197513161809,PF3D7_1414500
4775,0.0347956740981638,PF3D7_1440200
4597,0.0348810573944207,PF3D7_1420800
3500,0.0349670598908992,PF3D7_1231300
113,0.0345602461207437,PF3D7_0113800
3960,0.0351989842189618,PF3D7_1324800
908,0.0349285863488812,PF3D7_0512800
633,0.0351002143237799,PF3D7_0408300
1333,0.0351746759655089,PF3D7_0625200
4862,0.0357658251150006,PF3D7_1449000
4208,0.0362794202097784,PF3D7_1351000
1478,0.0362105107798704,PF3D7_0709200
4690,0.0370990851200804,PF3D7_1431400
244,0.0374219905561331,PF3D7_0213200
2268,0.0374500748960935,PF3D7_0928100
2756,0.0375051319695574,PF3D7_1101200
3114,0.0378846795549272,PF3D7_1140000
76,0.0373862131072061,PF3D7_0109100
3965,0.0377859238669382,PF3D7_1325300
4318,0.038365326804954,PF3D7_1362700
2594,0.0385589764080913,PF3D7_1024200
3920,0.0384227570373264,PF3D7_1320700
559,0.0382528291469587,PF3D7_0324500
324,0.0385548330185672,PF3D7_0222700
1069,0.0388614641678177,PF3D7_0529300
2415,0.0388391648838607,PF3D7_1005700
709,0.0388007160821247,PF3D7_0417000
1273,0.0383984770603854,PF3D7_0618700
5115,0.0396165261228365,PF3D7_1474800
181,0.0386666583386908,PF3D7_0206100
2597,0.0385188920241238,PF3D7_1024500
3985,0.0409319724918114,PF3D7_1327300
2929,0.040244413241924,PF3D7_1120300
923,0.0400799897947111,PF3D7_0514300
790,0.0397901288605189,PF3D7_0500100
4067,0.0401999723002491,PF3D7_1336200
1941,0.0395340516826841,PF3D7_0826300
381,0.0410517559770066,PF3D7_0305500
4634,0.0423384998296856,PF3D7_1425700
3857,0.0427618383214168,PF3D7_1314400
3342,0.0430921700426069,PF3D7_1214400
827,0.0438313849125845,PF3D7_0504400
4898,0.0445602203395874,PF3D7_1452600
4246,0.0450041799040116,PF3D7_1355200
2142,0.044636198505621,PF3D7_0915100
582,0.0469247185403274,PF3D7_0403100
1576,0.0462476714257877,PF3D7_0720300
2596,0.0475261806010334,PF3D7_1024400
4261,0.050090486035958,PF3D7_1356800
5147,0.0484894287536326,PF3D7_1479100
169,0.0493229041955061,PF3D7_0204800
4966,0.0488869564989264,PF3D7_1459500
2277,0.0498407323779407,PF3D7_0929000
3452,0.0500910279421709,PF3D7_1226200
1645,0.0532417753162379,PF3D7_0727800
4040,0.0540628042538997,PF3D7_1333300
4114,0.0545433131530151,PF3D7_1341600
1736,0.0545125177533274,PF3D7_0805400
3372,0.0547129961032867,PF3D7_1217600
2463,0.0563431841855461,PF3D7_1010600
4560,0.056761414281141,PF3D7_1416400
2569,0.0592371165504338,PF3D7_1021700
2229,0.0599354068185026,PF3D7_0924100
3722,0.0584954189412659,PF3D7_1300100
1027,0.0581429125413648,PF3D7_0524800
4708,0.056340749361021,PF3D7_1433200
380,0.0585051848064945,PF3D7_0305400
2216,0.0588260918342838,PF3D7_0922700
4434,0.0580356030427903,PF3D7_1403300
1186,0.0593636040022848,PF3D7_0609700
3082,0.061717962483246,PF3D7_1136100
4676,0.0639768268850958,PF3D7_1430000
1223,0.0662764396545247,PF3D7_0613600
4771,0.0641518304607558,PF3D7_1439800
5025,0.0665149515421085,PF3D7_1465600
3954,0.0648799382369361,PF3D7_1324200
172,0.0674774986179742,PF3D7_0205100
3668,0.0627044448496603,PF3D7_1249200
1003,0.0637126239243953,PF3D7_0522400
2565,0.0796942725314116,PF3D7_1021300
1664,0.0673232562352411,PF3D7_0729800
3124,0.190519875448703,PF3D7_1141000
