mdpackage.filters...1...,mdpackage.scores...1...,gid
1305,0.0543370114277894,PF3D7_0622300
2035,0.0555405247592565,PF3D7_0903900
3928,0.0550879421666634,PF3D7_1321600
494,0.0559230577457165,PF3D7_0317700
1489,0.0562030457615964,PF3D7_0710300
3597,0.0559446800772188,PF3D7_1241800
446,0.0560227674352373,PF3D7_0312400
3554,0.056009595379249,PF3D7_1237000
3737,0.0575489834803,PF3D7_1302100
4583,0.0571828226801969,PF3D7_1419300
3649,0.0579595889845957,PF3D7_1247300
1299,0.0580912540874285,PF3D7_0621700
3256,0.0578771834063075,PF3D7_1205300
440,0.057799501134673,PF3D7_0311800
1732,0.0584011372594787,PF3D7_0805000
1839,0.0589521045037352,PF3D7_0816100
1025,0.0589917216984145,PF3D7_0524600
1573,0.0591830179962506,PF3D7_0720000
178,0.0600987644818103,PF3D7_0205800
1501,0.0599487986131806,PF3D7_0711500
554,0.0606490646654679,PF3D7_0323700
4083,0.0602586755467944,PF3D7_1338000
4891,0.0615056795451742,PF3D7_1451900
1742,0.0622680883663398,PF3D7_0806000
4958,0.0618801920176379,PF3D7_1458700
2840,0.0617139209630956,PF3D7_1111000
391,0.0617757416025452,PF3D7_0306500
1699,0.0620005753515224,PF3D7_0801400
4726,0.0627284373287949,PF3D7_1435000
3237,0.063222884703763,PF3D7_1203200
1211,0.0624267332310556,PF3D7_0612300
5149,0.0624052365732038,PF3D7_1479400
2712,0.0630038795032243,PF3D7_1036800
1350,0.0630542866377905,PF3D7_0626900
1690,0.0632466156182497,PF3D7_0800200
2069,0.0633079912468665,PF3D7_0907500
172,0.0636423242637908,PF3D7_0205100
1645,0.0647493357313458,PF3D7_0727800
2853,0.0645396085237308,PF3D7_1112300
636,0.0644524275649916,PF3D7_0408600
1615,0.0641005934668582,PF3D7_0724200
116,0.0641349585214289,PF3D7_0114100
3764,0.0644220502033131,PF3D7_1305100
3955,0.0654869507044597,PF3D7_1324300
5,0.0666698403665819,PF3D7_0100600
2269,0.0665147834859604,PF3D7_0928200
77,0.0664533949775169,PF3D7_0109200
4318,0.0669497738767682,PF3D7_1362700
3589,0.0662815953198417,PF3D7_1240900
3691,0.0706746260033643,PF3D7_1251500
262,0.070152142717071,PF3D7_0215000
5029,0.0695058808819836,PF3D7_1466000
1577,0.0692797541201314,PF3D7_0720400
4308,0.0700268183684641,PF3D7_1361700
4200,0.0707485888622682,PF3D7_1350200
5024,0.0704345514533937,PF3D7_1465500
4843,0.0695675431286896,PF3D7_1447100
4955,0.072165455133893,PF3D7_1458400
1815,0.072134332464095,PF3D7_0813600
3796,0.0713478847969611,PF3D7_1308300
2594,0.0729230820230307,PF3D7_1024200
3988,0.0729206575246834,PF3D7_1327600
1237,0.0735610826347604,PF3D7_0615000
4708,0.0756484534780034,PF3D7_1433200
4434,0.0743761123960147,PF3D7_1403300
3558,0.0754539833056482,PF3D7_1237400
1877,0.0779472250572103,PF3D7_0819900
1509,0.077929786076575,PF3D7_0713000
1787,0.0784504221303208,PF3D7_0810800
3865,0.0811699014816713,PF3D7_1315200
4395,0.0801273307460223,PF3D7_1372300
3289,0.0774643032566736,PF3D7_1208600
2033,0.0831473549407191,PF3D7_0903700
103,0.0836061106859046,PF3D7_0112100
2374,0.0829788056103278,PF3D7_1001500
4092,0.0857351254836241,PF3D7_1338900
37,0.0831188397011885,PF3D7_0104600
91,0.0825919249944465,PF3D7_0110800
3039,0.0839634194610069,PF3D7_1131600
1588,0.0872453638604698,PF3D7_0721500
2903,0.0840441526360888,PF3D7_1117700
3286,0.0878196476502078,PF3D7_1208300
2583,0.0864680956098308,PF3D7_1023100
942,0.0855343021942186,PF3D7_0516300
4741,0.0923225823421252,PF3D7_1436600
4016,0.0908672482003062,PF3D7_1330700
1871,0.0936544979957741,PF3D7_0819300
2812,0.0894495883263254,PF3D7_1107600
2664,0.0948038325345492,PF3D7_1031700
2204,0.0915244013592197,PF3D7_0921500
10,0.0934699836303714,PF3D7_0101300
4778,0.0905167383781491,PF3D7_1440500
16,0.0875680455719467,PF3D7_0102500
1982,0.109051764554156,PF3D7_0831100
198,0.102710691392793,PF3D7_0208200
1424,0.0963184522698585,PF3D7_0703400
2268,0.108401825190853,PF3D7_0928100
4403,0.105980151469967,PF3D7_1373400
3586,0.0876639098342982,PF3D7_1240300
1727,0.24140820078184,PF3D7_0804500
